text,created_at,author/followers_count,author/screen_name
RT @8bitmagicgames: We're really sorry @BarackObama but #mightymower got carried away and mowed your #8bit lawn. http://t.co/MCNQXkrrVW htt…,1395332683,1479,ThePixelAgent
#LifeHappens he says. MT @BarackObama: Join in today’s health care #TBT push. http://t.co/ltHS3DDW0h #GetCoveredNow http://t.co/rar00Fg3UZ,1395332587,163,lancesalyers
"MT @samsteinhp &gt; @BarackObama to @oreillyfactor: #Lincoln ""loved telling the occasional bawdy joke"". http://t.co/C9i1AZ8xvP @politifact?",1395332368,1043,JeromePandell
We're really sorry @BarackObama but #mightymower got carried away and mowed your #8bit lawn. http://t.co/MCNQXkrrVW http://t.co/DnvMHWFg24,1395332333,10,8bitmagicgames
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395332124,240,eclark919
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395331826,265,maghfira_fm
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395331794,116,rnbsnprn
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395331547,286,susanlawino
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395331174,106,38Belton
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395331081,156,NBASmallBall
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330870,185,skies2782
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330816,774,smaxxmahaffey
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330768,649,HedgeyeAC
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330684,833,janus303
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330658,107601,jasoncollins34
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330551,1361,rgallentine
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395330478,12,rocasa1407
The signature on my voter registration? MT @BarackObama Thinking we're only one signature away from ending the war in Iraq. (from 4/29/07),1395330415,4102,Only4RM
Fabulous news! MT@mass_digi Congrats to at Worcester Technical HS! Pres. @BarackObama to deliver graduation address http://t.co/K3dq4lr8eU …,1395329973,1512,LaurieofMars
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395329830,26,GloriaPineiros
RT @BarackObama: Always to the point. MT @ChicagosMayor: Because #LifeHappens. #GetCoveredNow. Deadline is 3/31 http://t.co/lWFpTtCdWs,1395329740,844,SarahHummell
"RT @Chris_Mayer: Office of the Pres has been reduced to this MT @BarackObama: share your ""life happens"" photos #GetCoveredNow. http://t.co/…",1395329615,58,WhiteRabbit2016
RT @icashmir: #Kashmir MT @ndtv: Russia needs to recognize the rights of the people of Ukraine which will determine their future: @BarackOb…,1395329440,96,Tulika_B
#Kashmir MT @ndtv: Russia needs to recognize the rights of the people of Ukraine which will determine their future: @BarackObama,1395329240,4718,icashmir
"RT @Chris_Mayer: Office of the Pres has been reduced to this MT @BarackObama: share your ""life happens"" photos #GetCoveredNow. http://t.co/…",1395329080,2669,gt_rman
"RT @Chris_Mayer: Office of the Pres has been reduced to this MT @BarackObama: share your ""life happens"" photos #GetCoveredNow. http://t.co/…",1395329023,518,COCOGOP
"Office of the Pres has been reduced to this MT @BarackObama: share your ""life happens"" photos #GetCoveredNow. http://t.co/oo4cKaZV7W",1395328917,916,Chris_Mayer
"RT @FirstTeamTommy: Your presidency is on crutches. MT @BarackObama: Tomorrow, share your own #TBT ""life happens"" photos—#GetCoveredNow. ht…",1395328515,1137,heavyhokie
"Your presidency is on crutches. MT @BarackObama: Tomorrow, share your own #TBT ""life happens"" photos—#GetCoveredNow. http://t.co/upuWiVMFAf",1395328492,240,FirstTeamTommy
